file                bytes_processed  p_value        status  last_ok      final
0_1_2_8_29_18.log   1.250000e+8      3.010000e-151  fail    -            -    
1_0_2_16_8_27.log   1.250000e+8      4.830000e-154  fail    -            -    
0_1_2_29_8_14.log   1.250000e+8      9.510000e-156  fail    -            -    
1_0_2_29_8_18.log   1.250000e+8      1.760000e-156  fail    -            -    
1_0_0_6_5_21.log    1.250000e+8      5.530000e-157  fail    -            -    
1_0_0_16_5_14.log   1.250000e+8      2.360000e-161  fail    -            -    
1_0_1_13_7_25.log   1.250000e+8      2.580000e-171  fail    -            -    
1_0_1_11_5_26.log   1.250000e+8      4.020000e-184  fail    -            -    
1_0_2_11_28_6.log   1.250000e+8      3.890000e-192  fail    -            -    
0_1_0_11_5_26.log   1.250000e+8      2.510000e-192  fail    -            -    
0_1_2_15_23_12.log  1.250000e+8      4.860000e-204  fail    -            -    
1_0_0_2_7_10.log    1.250000e+8      3.240000e-205  fail    -            -    
1_0_2_28_11_26.log  1.250000e+8      1.400000e-210  fail    -            -    
0_1_0_13_7_25.log   1.250000e+8      3.420000e-211  fail    -            -    
1_0_2_23_15_12.log  1.250000e+8      6.390000e-215  fail    -            -    
0_1_2_11_28_26.log  1.250000e+8      5.920000e-219  fail    -            -    
0_1_2_23_15_20.log  1.250000e+8      1.150000e-219  fail    -            -    
1_0_2_15_23_20.log  1.250000e+8      6.170000e-241  fail    -            -    
1_0_0_27_5_12.log   1.250000e+8      5.060000e-242  fail    -            -    
0_1_0_13_3_7.log    1.250000e+8      4.630000e-252  fail    -            -    
0_1_2_28_11_6.log   1.250000e+8      1.510000e-253  fail    -            -    
0_1_1_3_13_7.log    1.250000e+8      5.370000e-273  fail    -            -    
0_1_1_27_5_12.log   1.250000e+8      1.760000e-276  fail    -            -    
1_0_0_3_13_7.log    1.250000e+8      5.490000e-290  fail    -            -    
0_1_2_9_18_2.log    1.250000e+8      8.160000e-298  fail    -            -    
1_0_2_25_15_20.log  1.250000e+8      1.140000e-298  fail    -            -    
1_0_2_25_14_5.log   1.250000e+8      1.960000e-300  fail    -            -    
1_0_2_29_11_24.log  1.250000e+8      3.820000e-302  fail    -            -    
1_0_2_19_21_13.log  1.250000e+8      6.700000e-304  fail    -            -    
1_0_1_13_3_7.log    1.250000e+8      1.040000e-304  fail    -            -    
1_0_2_21_19_19.log  1.250000e+8      9.110000e-305  fail    -            -    
1_0_2_14_25_27.log  1.250000e+8      5.120000e-307  fail    -            -    
0_1_2_14_25_5.log   1.250000e+8      8.500000e-311  fail    -            -    
0_1_2_29_11_8.log   1.250000e+8      1.630000e-312  fail    -            -    
0_1_2_19_21_19.log  1.250000e+8      1.110000e-312  fail    -            -    
1_0_2_9_18_30.log   1.250000e+8      3.170000e-316  fail    -            -    
0_1_0_1_10_30.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_1_31_9.log    1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_11_3_29.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_15_2_9.log    1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_15_5_12.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_15_7_23.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_15_7_25.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_19_11_11.log  1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_3_25_28.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_5_27_12.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_5_27_16.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_0_9_23_29.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_1_10_1_30.log   1.250000e+8      0.000000e+0    fail    -            -    
0_1_1_11_19_11.log  1.250000e+8      0.000000e+0    fail    -            -    
