
=== All PRNGs ===
Rank | Params           | Last Pass | Last Test  | Last Iter   | Total All   | No Anom | P-Value    | Iters
  80 | 1 0 2 23 21 26   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  81 | 1 0 2 24 29 27   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  82 | 1 0 2 25 25 22   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  83 | 1 0 2 26 10 9    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  84 | 1 0 2 28 7 27    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  85 | 1 0 2 28 11 26   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  86 | 1 0 2 29 7 30    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  87 | 1 0 2 30 5 7     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  88 | 1 0 2 31 15 3    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  89 | 0 1 0 3 20 17    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  90 | 0 1 0 9 8 19     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  91 | 0 1 0 9 11 16    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  92 | 0 1 0 15 5 12    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  93 | 0 1 0 15 7 23    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  94 | 0 1 0 15 17 17   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  95 | 0 1 1 6 23 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  96 | 0 1 2 1 29 13    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  97 | 0 1 2 2 6 19     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  98 | 0 1 2 2 23 4     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  99 | 0 1 2 3 17 4     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 100 | 0 1 2 3 23 3     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 101 | 0 1 2 5 20 10    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 102 | 0 1 2 6 29 20    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 103 | 0 1 2 9 11 19    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 104 | 0 1 2 9 18 2     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 105 | 0 1 2 9 24 21    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 106 | 0 1 2 15 23 12   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 107 | 0 1 2 15 31 3    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
 108 | 0 1 2 17 25 5    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
