# Run started: 2025-09-20T09:55:17-07:00
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 62): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 61): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 63): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 4): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 1): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 3): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 2): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 7): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 5): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 6): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 9): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 11): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 10): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 8): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 12): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 13): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 14): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 15): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 16): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 17): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 18): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 19): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 21): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 20): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 23): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 22): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 25): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 26): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 28): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 24): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 30): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 29): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 27): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 32): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 31): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 33): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 35): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 34): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 36): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 38): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 40): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 37): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 39): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 41): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 47): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 43): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 44): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 48): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 42): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 45): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 46): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 49): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 50): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 51): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 52): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 53): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 54): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 55): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 56): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 57): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 63): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 60): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 1): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 58): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 2): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 62): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 61): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(3, 59): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 3): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 5): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 4): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 7): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 8): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 6): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 9): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 10): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 13): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 12): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 16): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 17): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 11): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 15): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 14): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 18): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 19): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 21): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 22): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 20): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 26): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 23): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 24): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 25): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 28): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 31): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 27): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 29): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 30): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 32): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 33): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 34): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 37): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 35): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 42): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 36): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 38): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 40): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 41): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 39): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 44): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 43): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 47): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 45): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 46): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 50): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 49): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 48): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 51): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 55): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 54): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 52): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 53): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 56): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 57): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 58): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 59): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 60): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 61): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 62): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(4, 63): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 2): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 5): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 3): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 1): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 9): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 8): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 6): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 4): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 7): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 11): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 10): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 12): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 13): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 14): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 15): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 16): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 19): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 18): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 20): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 17): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 21): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 23): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 22): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 24): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 25): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 26): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 28): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 29): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 27): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 31): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 30): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 32): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 34): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 36): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 35): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 33): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 37): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 40): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 39): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 38): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(5, 42): NOT OK
